area,population
Erzgebirgskreis,328695
Mittelsachsen,299329
Vogtlandkreis,221376
Zwickau,309621
Dresden,555351
Bautzen,296290
Görlitz,248273
Meißen,239344
Sächsische Schweiz-Osterzgebirge,244009
Leipzig,601866
Leipzig,258214
Nordsachsen,197529
Dessau-Roßlau,78731
Halle (Saale),238061
Magdeburg,236188
Altmarkkreis Salzwedel,81986
Anhalt-Bitterfeld,155900
Börde,170106
Burgenlandkreis,176333
Harz,209117
Jerichower Land,89118
Mansfeld-Südharz,132317
Saalekreis,182814
Salzlandkreis,185495
Stendal,109746
Wittenberg,123341
Erfurt,213227
Gera,91368
Jena,110502
Suhl,36054
Weimar,65138
Eichsfeld,99324
Nordhausen,81687
Wartburgkreis,158900
Unstrut-Hainich-Kreis,101269
Kyffhäuserkreis,72964
Schmalkalden-Meiningen,123404
Gotha,133825
Sömmerda,68717
Hildburghausen,62089
Ilm-Kreis,105367
Weimarer Land,82103
Sonneberg,56504
Saalfeld-Rudolstadt,100969
Saale-Holzland-Kreis,82513
Saale-Orla-Kreis,79030
Greiz,96102
Altenburger Land,87807
